CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2
08/27/2021,9:15,Manhattan,10035.0,40.80574,-73.942764,1.0,1.0,1,1,0,0,0,0,Unspecified,,4457151,Sedan,
09/11/2021,18:18,Brooklyn,11238.0,40.684204,-73.96806,3.0,1.0,1,1,0,0,2,0,Unsafe Speed,Unspecified,4457191,Sedan,Sedan
12/17/2021,23:50,Staten Island,10312.0,40.547924,-74.166954,1.0,1.0,0,0,0,0,1,1,Unsafe Speed,,4487497,Sedan,
04/21/2021,0:55,Queens,11419.0,40.692135,-73.83485,3.0,1.0,0,0,0,0,3,1,Alcohol Involvement,Unspecified,4409176,Sedan,Pick-up Truck
08/21/2021,8:07,Queens,11106.0,40.758125,-73.928505,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,Unspecified,4451296,Station Wagon/Sport Utility Vehicle,Motorcycle
03/28/2022,8:25,Manhattan,10037.0,40.820435,-73.93623,2.0,1.0,1,1,0,0,1,0,Unspecified,Unspecified,4514342,Sedan,Station Wagon/Sport Utility Vehicle
05/17/2021,19:20,Brooklyn,11211.0,40.71045,-73.95687,1.0,1.0,0,0,0,0,1,1,Unsafe Speed,Unspecified,4417621,Station Wagon/Sport Utility Vehicle,Box Truck
08/31/2021,2:39,Brooklyn,11201.0,40.691193,-73.99777,1.0,1.0,0,0,0,0,1,1,Unsafe Speed,Unspecified,4452542,Sedan,Tractor Truck Diesel
02/22/2022,1:30,Brooklyn,11236.0,40.645397,-73.91893,1.0,1.0,0,0,0,0,1,1,Unsafe Speed,Unspecified,4504805,Sedan,Tractor Truck Diesel
09/28/2021,11:13,Brooklyn,11223.0,40.59783,-73.96549,1.0,1.0,1,1,0,0,0,0,Failure to Yield Right-of-Way,,4462331,Station Wagon/Sport Utility Vehicle,
05/28/2021,20:39,Queens,11105.0,40.777958,-73.90847,1.0,1.0,0,1,1,0,0,0,Unspecified,,4421901,E-Bike,
06/10/2021,23:43,Brooklyn,11234.0,40.607178,-73.91642,4.0,1.0,0,0,0,0,4,1,Unsafe Speed,,4426256,Station Wagon/Sport Utility Vehicle,
01/04/2022,0:42,Brooklyn,11222.0,40.72083,-73.93814,1.0,1.0,0,0,0,0,1,1,Unsafe Speed,Unspecified,4491817,Sedan,Dump
01/08/2022,5:18,Bronx,10474.0,40.81005,-73.88724,1.0,1.0,0,0,0,0,1,1,Alcohol Involvement,Unspecified,4492843,Sedan,Tractor Truck Diesel
06/13/2021,3:50,Queens,11379.0,40.714622,-73.90117,2.0,1.0,0,0,0,0,2,1,Traffic Control Disregarded,Unspecified,4432163,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
06/28/2021,19:27,Brooklyn,11203.0,40.637455,-73.92886,1.0,1.0,0,0,0,0,1,1,Unsafe Speed,Unspecified,4432786,Sedan,Station Wagon/Sport Utility Vehicle
06/29/2021,0:21,Brooklyn,11207.0,40.676144,-73.893074,2.0,1.0,0,0,0,0,2,1,Unspecified,Unspecified,4432515,Sedan,Sedan
07/17/2021,3:23,Brooklyn,11233.0,40.677288,-73.92824,1.0,1.0,0,0,0,0,1,1,Unsafe Speed,,4437642,Sedan,
09/25/2021,6:37,Brooklyn,11212.0,40.666189,-73.9166575,2.0,1.0,0,0,0,0,2,1,Alcohol Involvement,Unspecified,4461288,Sedan,Station Wagon/Sport Utility Vehicle
07/24/2021,20:38,Queens,11434.0,40.65616,-73.76736,4.0,2.0,0,0,0,0,4,2,Unsafe Speed,Failure to Yield Right-of-Way,4442158,Sedan,Sedan
08/01/2021,2:13,Brooklyn,11213.0,40.677715,-73.93587,1.0,1.0,0,0,0,0,1,1,Unspecified,,4442673,Motorcycle,
08/05/2021,23:12,Bronx,10463.0,40.874615,-73.90472,1.0,1.0,0,0,0,0,1,1,Tinted Windows,Unspecified,4444800,Motorcycle,Sedan
08/10/2021,13:28,Bronx,10467.0,40.885693,-73.86165,2.0,1.0,0,0,0,0,2,1,Unsafe Speed,Unspecified,4445781,Minibike,Station Wagon/Sport Utility Vehicle
08/07/2021,21:30,Manhattan,10033.0,40.84992,-73.93148,3.0,1.0,3,1,0,0,0,0,Unspecified,,4444798,Sedan,
09/02/2021,10:54,Brooklyn,11205.0,40.694576,-73.95615,1.0,1.0,1,1,0,0,0,0,View Obstructed/Limited,,4453656,Flat Bed,
09/07/2021,20:30,Bronx,10463.0,40.877235,-73.91781,1.0,1.0,0,1,0,0,1,0,Unspecified,,4455073,Bus,
02/21/2022,15:13,Queens,11385.0,40.710777,-73.86502,3.0,1.0,0,0,0,0,3,1,Traffic Control Disregarded,Unspecified,4504806,Moped,Station Wagon/Sport Utility Vehicle
02/06/2022,2:09,Brooklyn,11216.0,40.670006,-73.95328,4.0,1.0,0,0,0,0,4,1,Unsafe Speed,Unspecified,4500420,Sedan,Sedan
02/26/2022,2:33,Queens,11419.0,40.689003,-73.829346,2.0,1.0,0,0,0,0,2,1,Unsafe Speed,Unspecified,4506087,Sedan,Sedan
03/04/2022,18:11,Brooklyn,11214.0,40.61157,-73.994606,1.0,1.0,1,1,0,0,0,0,Traffic Control Disregarded,,4507537,E-Bike,
05/02/2022,2:47,Manhattan,10002.0,40.72293,-73.98865,3.0,1.0,0,1,0,0,3,0,Alcohol Involvement,Unspecified,4524167,Sedan,Taxi
07/10/2022,20:47,Staten Island,10309.0,40.508614,-74.22375,6.0,3.0,0,0,0,0,6,3,Unsafe Speed,Failure to Yield Right-of-Way,4545310,Sedan,Station Wagon/Sport Utility Vehicle
07/17/2022,13:09,Queens,11691.0,40.59561,-73.77656,2.0,1.0,0,0,0,0,2,1,Unsafe Speed,Unsafe Speed,4546808,Motorcycle,Motorbike
07/19/2022,14:25,Bronx,10472.0,40.829044,-73.87444,1.0,2.0,0,0,0,0,1,2,Unsafe Speed,Unspecified,4549200,Motorcycle,Station Wagon/Sport Utility Vehicle
05/22/2022,22:47,Bronx,10468.0,40.86531,-73.90333,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,Unspecified,4530824,Station Wagon/Sport Utility Vehicle,Motorcycle
05/26/2022,7:05,Staten Island,10305.0,40.613373,-74.063255,2.0,1.0,1,1,0,0,1,0,Failure to Yield Right-of-Way,,4531423,Station Wagon/Sport Utility Vehicle,
05/30/2022,10:18,Brooklyn,11204.0,40.608593,-73.975,3.0,1.0,0,1,0,0,3,0,Traffic Control Disregarded,Unspecified,4532525,Station Wagon/Sport Utility Vehicle,Taxi
08/03/2022,4:00,Manhattan,10034.0,40.865795,-73.920006,5.0,2.0,0,2,0,0,5,0,Unsafe Speed,Unspecified,4552542,Sedan,Station Wagon/Sport Utility Vehicle
07/17/2022,16:44,Manhattan,10026.0,40.804417,-73.955376,1.0,1.0,1,0,0,0,0,1,Traffic Control Disregarded,,4547098,Motorcycle,
06/25/2022,19:10,Brooklyn,11233.0,40.684147,-73.922966,4.0,1.0,2,1,1,0,1,0,Unsafe Speed,Passing or Lane Usage Improper,4541939,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
08/14/2022,21:22,Bronx,10463.0,40.87078,-73.90686,1.0,1.0,0,0,0,0,1,1,Driver Inexperience,Turning Improperly,4555472,Motorscooter,Sedan
03/05/2021,6:38,Staten Island,10304.0,40.59325,-74.11065,1.0,1.0,0,0,0,0,1,1,Unsafe Speed,,4396626,Sedan,
04/04/2021,15:01,Brooklyn,11234.0,40.61877,-73.929794,9.0,1.0,0,0,0,0,9,1,Unsafe Speed,Unspecified,4404594,Sedan,Station Wagon/Sport Utility Vehicle
12/09/2020,10:16,Brooklyn,11234.0,40.635483,-73.92381,1.0,1.0,0,1,0,0,1,0,Traffic Control Disregarded,Unspecified,4374651,Sedan,Sedan
12/24/2020,19:09,Queens,11416.0,40.681484,-73.84788,2.0,1.0,0,0,0,0,2,1,Failure to Yield Right-of-Way,Driver Inattention/Distraction,4379386,Sedan,Station Wagon/Sport Utility Vehicle
01/29/2021,7:46,Staten Island,10305.0,40.603615,-74.06931,1.0,1.0,0,1,0,0,1,0,Unspecified,,4387617,Box Truck,
01/01/2021,4:40,Queens,11691.0,40.601368,-73.760056,1.0,2.0,0,0,0,0,1,2,Unsafe Speed,Unspecified,4380776,Pick-up Truck,Station Wagon/Sport Utility Vehicle
10/30/2020,17:18,Queens,11432.0,40.705147,-73.7957,3.0,2.0,3,2,0,0,0,0,Driver Inexperience,,4362781,Station Wagon/Sport Utility Vehicle,
11/20/2020,11:45,Queens,11413.0,40.651405,-73.758896,2.0,2.0,0,0,0,0,2,2,Driver Inattention/Distraction,,4369300,Sedan,
10/29/2020,18:14,Bronx,10462.0,40.84773,-73.85709,1.0,1.0,0,1,0,0,1,0,Unspecified,,4362433,Bus,
10/18/2020,0:58,Bronx,10463.0,40.87142,-73.90654,1.0,1.0,0,1,0,0,1,0,Unsafe Speed,Unspecified,4358649,Sedan,Station Wagon/Sport Utility Vehicle
11/16/2020,7:18,Manhattan,10001.0,40.74977,-73.987785,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,Unspecified,4369418,Flat Bed,Sedan
09/12/2020,8:36,Queens,11413.0,40.665386,-73.74493,1.0,1.0,0,0,0,0,1,1,Turning Improperly,Unspecified,4348484,Concrete Mixer,Sedan
08/30/2020,20:17,Bronx,10453.0,40.854588,-73.90187,3.0,1.0,0,0,0,0,3,1,Traffic Control Disregarded,Unspecified,4343360,Motorcycle,Sedan
10/03/2020,8:20,Bronx,10465.0,40.824352,-73.82022,2.0,1.0,0,0,0,0,2,1,Unsafe Speed,Unspecified,4354566,Sedan,Sedan
10/06/2020,1:50,Brooklyn,11208.0,40.660797,-73.87183,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,Unspecified,4355332,Sedan,Box Truck
08/27/2020,8:16,Queens,11385.0,40.7042,-73.88288,1.0,1.0,0,1,0,0,1,0,Unspecified,,4342458,Station Wagon/Sport Utility Vehicle,
09/15/2020,18:25,Brooklyn,11203.0,40.658295,-73.93109,4.0,1.0,0,0,0,0,4,1,Unsafe Speed,Unspecified,4348462,Motorcycle,Station Wagon/Sport Utility Vehicle
09/18/2020,16:29,Brooklyn,11208.0,40.67974,-73.87839,1.0,1.0,0,1,0,0,1,0,Driver Inattention/Distraction,,4349479,Station Wagon/Sport Utility Vehicle,
09/24/2020,7:07,Manhattan,10021.0,40.77012,-73.95741,1.0,1.0,0,0,0,0,1,1,Unspecified,Unspecified,4351824,Sedan,Station Wagon/Sport Utility Vehicle
10/03/2020,7:40,Brooklyn,11220.0,40.644455,-74.0183,1.0,1.0,0,0,0,1,1,0,Unsafe Speed,Traffic Control Disregarded,4354880,Motorcycle,Bike
09/05/2020,11:53,Queens,11106.0,40.75658,-73.929756,1.0,1.0,0,0,0,0,1,1,Failure to Yield Right-of-Way,Unspecified,4344929,Motorcycle,Motorcycle
09/17/2020,0:47,Brooklyn,11206.0,40.69603,-73.943535,11.0,1.0,0,0,0,0,11,1,Unspecified,Unspecified,4349816,Chassis Cab,Ambulance
09/19/2020,22:30,Queens,11379.0,40.727978,-73.871025,1.0,1.0,1,0,0,0,0,1,Traffic Control Disregarded,,4349728,Motorcycle,
10/06/2020,3:52,Queens,11420.0,40.66549,-73.819534,1.0,3.0,0,0,0,0,1,3,Unsafe Speed,,4355333,Sedan,
07/15/2020,9:52,Brooklyn,11212.0,40.66241,-73.90987,2.0,1.0,0,1,0,0,2,0,Traffic Control Disregarded,Unspecified,4328665,Station Wagon/Sport Utility Vehicle,Sedan
08/16/2020,6:54,Queens,11691.0,40.59515,-73.75321,1.0,1.0,0,0,0,0,1,1,Driver Inattention/Distraction,,4339469,Sedan,
07/11/2020,20:18,Brooklyn,11234.0,40.58993,-73.90059,4.0,3.0,0,0,0,0,4,3,Driver Inexperience,Driver Inexperience,4327676,Sedan,Sedan
06/30/2020,0:24,Queens,11372.0,40.75314,-73.87262,2.0,1.0,0,0,0,0,2,1,Driver Inattention/Distraction,Unspecified,4324297,Sedan,Station Wagon/Sport Utility Vehicle
06/29/2020,14:41,Queens,11694.0,40.582584,-73.83022,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,Unspecified,4324167,Sedan,Sedan
08/11/2020,7:15,Bronx,10467.0,40.874325,-73.86707,1.0,1.0,0,0,0,0,1,1,Turning Improperly,Unsafe Speed,4337926,Sedan,Motorcycle
07/05/2020,19:19,Brooklyn,11210.0,40.62573,-73.9564,1.0,1.0,0,1,0,0,1,0,Traffic Control Disregarded,Unspecified,4326077,Sedan,Sedan
07/18/2020,17:30,Brooklyn,11222.0,40.732006,-73.95795,1.0,1.0,0,0,0,0,1,1,Driver Inexperience,,4330574,Motorcycle,
05/22/2020,10:56,Queens,11413.0,40.682514,-73.75665,1.0,1.0,0,0,0,0,1,1,Unsafe Speed,Unspecified,4315230,Motorcycle,Sedan
06/10/2020,15:44,Brooklyn,11212.0,40.654667,-73.907394,1.0,1.0,0,1,0,0,1,0,Illnes,,4319173,Station Wagon/Sport Utility Vehicle,
06/13/2020,16:07,Staten Island,10312.0,40.52257,-74.19001,3.0,1.0,0,0,0,0,3,1,Passing or Lane Usage Improper,Unspecified,4320868,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
05/24/2020,20:09,Manhattan,10029.0,40.793816,-73.94012,4.0,1.0,1,0,0,0,3,1,Traffic Control Disregarded,Unspecified,4315469,Motorcycle,Station Wagon/Sport Utility Vehicle
04/25/2020,20:01,Staten Island,10312.0,40.544487,-74.176506,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,Unspecified,4310289,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
06/27/2020,4:48,Manhattan,10031.0,40.826427,-73.950455,4.0,1.0,0,0,0,0,4,1,Unsafe Speed,Unspecified,4323817,Sedan,Sedan
06/12/2020,15:44,Brooklyn,11236.0,40.643784,-73.90218,1.0,1.0,0,0,0,0,1,1,Unsafe Speed,Unspecified,4319587,Motorcycle,Station Wagon/Sport Utility Vehicle
04/19/2020,1:30,Queens,11419.0,40.681923,-73.831924,2.0,1.0,0,0,0,0,2,1,Traffic Control Disregarded,Unspecified,4309394,Sedan,Station Wagon/Sport Utility Vehicle
02/25/2020,6:45,Brooklyn,11208.0,40.663914,-73.86716,1.0,1.0,1,1,0,0,0,0,Driver Inattention/Distraction,,4293236,Bus,
02/21/2020,11:16,Queens,11373.0,40.732395,-73.87644,1.0,1.0,0,1,0,0,1,0,Failure to Yield Right-of-Way,,4294348,Station Wagon/Sport Utility Vehicle,
02/27/2020,8:14,Brooklyn,11207.0,40.667835,-73.89484,2.0,1.0,1,1,0,0,1,0,Failure to Yield Right-of-Way,,4294313,Station Wagon/Sport Utility Vehicle,
02/05/2020,13:42,Brooklyn,11203.0,40.643665,-73.94203,2.0,1.0,0,0,0,0,2,1,Driver Inattention/Distraction,Unspecified,4284064,Pick-up Truck,Station Wagon/Sport Utility Vehicle
01/17/2020,23:58,Queens,11413.0,40.683517,-73.75532,2.0,1.0,0,0,0,0,2,1,Unsafe Speed,Traffic Control Disregarded,4274978,Sedan,Station Wagon/Sport Utility Vehicle
02/18/2020,17:49,Manhattan,10035.0,40.796356,-73.932205,1.0,1.0,0,1,1,0,0,0,Unspecified,,4290824,E-Scooter,
01/25/2020,6:30,Manhattan,10013.0,40.71654,-73.996994,1.0,1.0,0,1,0,0,1,0,Unspecified,,4278630,Station Wagon/Sport Utility Vehicle,
01/07/2020,6:52,Queens,11368.0,40.73716,-73.86405,1.0,1.0,1,1,0,0,0,0,Unspecified,,4269930,Flat Rack,
01/04/2020,18:59,Staten Island,10312.0,40.549496,-74.181244,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,Unspecified,4269925,Station Wagon/Sport Utility Vehicle,Taxi
12/09/2019,9:35,Manhattan,10029.0,40.796,-73.93542,2.0,1.0,2,1,0,0,0,0,Failure to Yield Right-of-Way,,4254875,Pick-up Truck,
12/11/2019,20:18,Queens,11377.0,40.75119,-73.90203,2.0,1.0,0,1,0,0,2,0,Alcohol Involvement,Unspecified,4256870,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
12/08/2019,4:56,Brooklyn,11234.0,40.63742,-73.92401,1.0,1.0,0,0,0,0,1,1,Alcohol Involvement,Unspecified,4254178,Sedan,Sedan
11/06/2019,8:37,Queens,11379.0,40.71116,-73.879074,2.0,1.0,0,1,0,0,2,0,Unspecified,,4236753,Bus,
10/12/2019,15:19,Brooklyn,11218.0,40.644,-73.976585,2.0,1.0,1,1,0,0,1,0,Unspecified,,4225404,Station Wagon/Sport Utility Vehicle,
10/12/2019,23:51,Queens,11434.0,40.65616,-73.76736,1.0,1.0,0,0,1,1,0,0,Alcohol Involvement,Other Lighting Defects,4223206,Sedan,E-Sco
09/17/2019,15:56,Bronx,10467.0,40.88065,-73.86494,1.0,1.0,0,1,0,0,1,0,Driver Inexperience,Unspecified,4207959,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
09/10/2019,1:14,Queens,11420.0,40.68225,-73.81517,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,Unspecified,4202753,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
